year	sentence
2009	First of all, my supervisor Dr. Lisa Given, for her unwavering support and for the expertise she shared with me over the last three years.
2009	Without her guidance this project would not be what it is.
2009	I would also like to acknowledge the other committee members of my thesis committee; Dr. Stan Ruecker, for his interest, support, and perspectives on design and Dr. Heidi Julien, for her encouragement and open door.
2009	I would like to thank my employers, past and present.
2009	Thank you to the University of Alberta Learning Services staff especially Ernie Ingles, Mary-Jo Romaniuk and Skye Rodgers who were so generous in their support of my pursuit of this thesis and who provided me with interview space.
2009	Thank you to Peter Schoenberg of the Edmonton Public Library for having faith in me and generously allowing me time and space to finish writing before starting work and for understanding my somewhat exhausted state as I completed this project.
2009	Thank you to my participants whose enthusiasm and interest enriched this study.
2009	I owe a debt of gratitude to those students in my program who have come before me and shown the way for me in the interdisciplinary fields of Humanities Computing and Library & Information Studies.
2009	I would also like to thank my entire family.
2009	Thank you to my Mother, who always told me I could do anything I put my mind to, and who inspired me by her own example.
2009	Thank you to my Father, for his encouragement and for reminding me of what is important.
2009	Finally, I would like to thank my husband Bryon.
2009	It is impossible to describe the amount and quality of support that he provided me as a constant source of love and encouragement.
2009	Thank you for believing in me, and for all those cups of tea.
2009	Acknowledgments
2009	ACKNOWLEDGEMENTS Completing a dissertation was a journey of rediscovery for me.
2009	During my journey there were many bumps, hills, and straight roads.
2009	I came to learn to be optimistic and most certainly I learned to believe that I had it within me to complete my dissertation.
2009	This research is a significant part of my life for personal reasons that reflecting my understanding of the cultures in which I was brought up and grew a part of, including cross-cultural experiences in the United States.
2009	I never knew this moment would come.
2009	I would not be able to complete this journey without the support, encouragement, and most of all, the faith that my family, professors, and friends provided me.
2009	I am incredibly lucky to be a student and colleague of theirs: Drs.
2009	Kathy G. Short, David B. Yaden Jr. and Linda R. Waugh.
2009	Their knowledge, experiences, guidance, and confidence for me made it possible to develop my potential as a scholar, teacher, and academic writer.
2009	Others in the university community have helped me to be persistent: their magic words, �You will be JUST fine!� from Maria Fierro, Yvonne Gonz�lez-Lewis, and Virginia Gonzalez always helped me to remain inspired.
2009	I thank Candace K. Galla and Junko Sakoi for their patience, kindness, and unconditional friendship.
2009	I have been extremely lucky to have insightful and enthusiastic co-thinkers.
2009	I thank Mary Fahrenbruck, Jenise Porter, Melissa Wilson, Bryan Meadows, Helena Guerrero, Adam Schwartz, Kevin Carroll, Angie Hoffman, Brendan O�Connor, and Drs.
2009	Bob Wortman, Richard Ruiz, Yetta Goodman, and certainly Carole Edelsky.
2009	Of course, the warm prayers of Soo Hyun Park, So Jeong Jeon, and Candace Park were invaluable to the success of this study.
2009	Lastly, I can never thank my beloved husband enough, Yong Soo Park.
2009	Yong Soo�s love, support, encouragement, and understandings made this journey possible.
2009	4
2010	ACKNOWLEDGMENTS
2010	ACKNOWLEDGMENTS For everyone who encouraged me to begin this journey, and for everyone who encouraged me to continue this journey, I cannot express my gratitude enough.
2010	First, I would like to thank my family.
2010	My parents, Harold and Elaine Brookshire, always taught me the value of education through both their words and their actions.
2010	I appreciate all of the sacrifices they made so that I might have opportunities that I might otherwise not have had.
2010	I would also like to thank my husband Alan, whose words of encouragement were never silenced and whose belief in me never ceased.
2010	In addition, I appreciate the support of my parents-in-law, H.M. and Ann Everett.
2010	Secondly, I would like to thank my dissertation committee: Dr. Elizabeth Aversa, Dr. Beverly Dyer, Dr. Stephen Katsinas, and Dr. Michael Kennamer.
2010	I appreciate your time, your constructive criticism, and your suggestions.
2010	I especially want to thank Dr. David Hardy, the committee chair.
2010	No words can express my gratitude for your advice and guidance.
2010	In addition, I would like to thank Dr. Frankie Santos Laanan for his advice concerning methodology.
2010	Finally, I would like to thank three groups of colleagues.
2010	One is my classmates.
2010	In my opinion, the ideas shared through class discussions and assignments are such a crucial part of education and professional development.
2010	I would also like to thank my fellow sisters in the Rho Chapter of Beta State of Delta Kappa Gamma.
2010	I am honored to be in an organization with such respected female educators.
2010	Last, and certainly not least, I would like to thank my co-workers at Northeast Alabama Community College who were so supportive of this endeavor.
2010	Thank you all for believing in me and encouraging me to pursue my dream.
2010	v
2010	Acknowledgements
2010	Acknowledgements
2010	Acknowledgements
2010	ACKNOWLEDGEMENTS First and most importantly I want to thank my family - Ma, Henry, Stanley, Noreen, Erin, Ryan and Alice.
2010	I would never be at this point without the support and love of all of you.
2010	I consider myself very lucky to have such a strong and caring family.
2010	I also want to thank everyone who had to suffer through my bouts of self-doubt throughout this process, and especially Eran, Shoko, and Catherine, who kept me lighthearted and sane.
2010	I also want to thank Ron for teaching me to slow down and evaluate my own thought processes over the years.
2010	I would like to thank Dan Fuller, who spent hours talking me through and keeping me focused on this project, which started out on a completely different topic, and Bill Mongelli, whose course inspired the topic.
2010	I dedicate this thesis to Baba.
2010	You inspired me to live a life full of meaning and I miss you every day.
2010	v
2010	Acknowledgements
2010	ACKNOWLEDGEMENTS
2010	ACKNOWLEDGMENTS
2010	ACKNOWLEDGEMENTS I would like to thank my dissertation chair, Elizabeth Yakel, for her unwavering support from the moment I entered the doctoral program.
2010	Her dedication to archival education and practice and her sincere encouragement served as a constant inspiration to my progress in the program.
2010	I want to also thank Stephanie Teasley for her support and understanding as the Director of Doctoral Studies.
2010	Her assistant Sue Schuon has also been invaluable to me in completing the requirements of the program and making my life easier as a doctoral student.
2010	I am also grateful to Paul Conway for his insights about the archives profession and for his stellar professional advice.
2010	Barry Fishman was a tremendous help to me in navigating the field of the learning sciences and encouraging my exploration of learning in archival settings.
2010	I feel privileged to have worked with such a tremendous and supportive committee.
2010	It was a great pleasure and honor to be a student at the School of Information and I feel privileged to have worked with so many talented and hard-working faculty, staff, and students.
2010	I want to especially thank Fran Blouin, Ann Zimmerman, Eric Cook, Brian Hilligoss, Cory Knobel, and Ricky Punzalan for their kindness and encouragement over the years.
2010	This dissertation would not have been completed without the help of some wonderful educators and professional archivists.
2010	I would like to personally thank Karen Jania and Heather Briston for the time they invested in this research project.
2010	I would also like to acknowledge Dr. Michelle McClellan for her dedication to the innovative use of ii   primary sources in the classroom and graduate student instructors Morgan Labin and Alex Lovit for their assistance in facilitating my research.
2010	There are also hundreds of archives professionals that volunteered their time to respond to my instructional survey, agreed to be interviewed, and attend my session at the Society of American Archivists meeting, and provide useful and constructive feedback along the way.
2010	I want to also thank Doris Malkmus, Barbara Rockenbach, and Peter Wosh for their perspectives and insights on teaching undergraduates in archives and special collections.
2010	Finally, I am grateful to my husband Andrew and son Paul for their love, support, and laughter over the years.
2010	I am also thankful to my parents for the many sacrifices they have made to see me come this far.
2010	Acknowledgements
2010	Acknowledgements
2010	Acknowledgements
2010	ACKNOWLEDGEMENTS A disseftation is not completed by the student alone, my dear friend, Michael Bell, wisely pointed out at many junctures of this experience.
2010	This project would not have reached completion without the assistance and support of a number of individuals.
2010	I acknowledge my wonderful chairperson, Dr. Cara Garcia, for mindful and patient assistance.
2010	Dr. Laurie Walters, my fantastic friend, personal statistician, and tireless cheerleader.
2010	The incomparable Dr. Christine Borgman, for challenging assessment invaluable advice.
2010	I acknowledge my parents, lnga and Folke Brahme for unconditional support.
2010	Folke unknowingly became a key inspiration for the study, serving as the original distance doctoral student by completing.
2010	his doctorate at Lunds Univestitet,1975, after emigrating from southern Sweden to California.
2010	Revealing her uncanny sensitivity and timing, lnga spoiled me with rewards throughout.
2010	Drs.
2010	Johan and Sevil Brahme, my beloved brother and sister-in-law, helped me keep perspective.
2010	My children, Jesse and Susannah, (and Josie) may never know how their lively, dear presence motivated me every day.
2010	Friends and colleagues were essential sources of support, cheer and unwavering understanding: Michael Bell, Julie Berberian, Yolanda Kenney, Sharon Lalla, Melissa McCarty, Gina Meister, Patty Richmond, Laurie Walters (again).
2010	Acknowledgments
2010	ACKNOWLEDGEMENTS I would like to thank Tom Nesmith and Terry Cook for encouraging the development ofmythesisanddevelopingmyunderstandingofthearchivalprofession.
2010	Iamparticularly indebted to Tom Nesmith, my advisor, for his support throughout my academic career at the UniversityofManitoba.
2010	Tom'scontagiousenthusiasmforarchivesandgenuineinterestin the ideas of students provided me with much of the inspiration necessary to complete this thesis.
2010	Carol Adam, the Graduate Program Assistant for the Department of History, also deserves my gratitude.
2010	Carol's ability to overcome the administrative hurdles necessary to complete a degree often seemed nothing short of heroic.
2010	I would like to express my gratitude to all of the people who responded to my community archival questionnaire.
2010	Archivists and community development professionals are busy people and their willingness to set some time aside to provide input to my thesis is greatly appreciated.
2010	I would also like to thank the staff at the University of Manitoba Archives and SpecialCollections.
2010	InadditiontoprovidingaplaceofemploymenttheUniversityof Manitoba Archives acted as an important source of experience, education and entertainment.
2010	Coffee with Lewis, Brett and James was instrumental in maintaining my sanity during the early thesis writing process.
2010	In 2007 I had the privilege to work with Sharon McCullough and Sari Fields in the UniversityofManitobaAccessandPrivacyCoordinator'sOffice.
2010	Theytaughtmeagreat deal about access and privacy legislation and records management.
2010	Prior to working with Sharon and Sari I had not been aware of how valuable a sense of humour can be in dealing with FIPPA and records management issues.
2010	Finally, I would like to thank my family for providing the motivation necessary to complete my thesis.
2010	My parents, Bob and Christine Richards, have always placed a high value on education that ultimately led me to completing this thesis.
2010	My sister, Kathleen Richards, also provided considerable moral support during the writing process.
2010	Also, thank you to Phoebe and Miranda Richards.
2010	?
2010	Acknowledgements
2010	Acknowledgements
2010	ACKNOWLEDGEMENTS This dissertation has benefitted substantially from the comments of faculty and students at the applied microeconomics workshop and colloquium at Columbia.
2010	Chapter 1 in particular has also benefitted from the additional suggestions of Janet Currie, Cristian Pop-Eleches, Jonah Rockoff and seminar participants at Mathematica Policy Research, the University of Notre Dame and the University of Melbourne.
2010	Access to data is a prerequisite for any empirical project.
2010	For their kind efforts in this regard, I thank the staff at Botswana's Central Statistics Office, particularly Anna Majelantle, Susan Matroos and Esther Wanjohi.
2010	The generous assistance of the staff at the Education Statistics Unit (Botswana Ministry of Education) and the Botswana National Archives and Records Services is also much appreciated.
2010	For access to the South African data, I thank Bradley Page (Eastern Cape Department of Education) and Nosipho Zantsi (National Department of Education).
2010	Finally, the work in Chapter 3 would not have been possible without the close collaboration of the staff of the Akshara Foundation, in particular Pratima Bandekar, Ashok Kamath, Shreedevi Sharma, Dr. K. Vaijayanti and Arvind Venkatadri.
2010	I also thank the Michael and Susan Dell Foundation for providing financial support for this project.
2010	Most of all, I am grateful to my advisors, Leigh Linden and Miguel Urquiola.
2010	Their constant guidance, support and advice were instrumental not only to the completion of this dissertation, but to my personal and professional growth during my time at Columbia.
2010	They have been extraordinarily generous to me with their time and patience over the past few years: for this they have my sincere thanks.
2010	vi
2010	ACKNOWLEDGEMENTS I would like to express my deepest gratitude to all the people mentioned and unmentioned for all the greatest help they have given me in my lifetime.
2010	Without their support and assistance, I would not be able to complete this degree, and turn one of my childhood dreams into a reality.
2010	First, I must sincerely thank Professor Keith Swigger, my academic advisor and the chair of my dissertation/advisory committee, for his excellent teaching, guidance, advice, and supervision during the years of my doctoral study.
2010	He carefully read the drafts and provided most important and valuable comments and suggestions, which helped improve the quality of this project.
2010	Profound thanks must sincerely be given to Dr. Philip Q. Yang, Professor in the Department of Sociology and Social Work and a member of my dissertation committee, for his excellent teaching, guidance, and advice.
2010	Dr. Yang taught me advanced statistical methods as well as survey research methods.
2010	His excellent guidance on statistical analysis throughout my work and at the beginning stage of this project made this project possible.
2010	I must sincerely thank Professor Robert S. Martin, a member of my dissertation committee, for his excellent teaching and guidance.
2010	Special thanks must sincerely go to Dr. Eileen McEralth.
2010	a member of my dissertation committee, for her excellent guidance.
2010	I must sincerely extend my profound appreciation to Dr. JoAnn Danelo Barbour, Professor in the Department of Teacher Education, for her excellent teaching and guidance.
2010	v   I would like to thank Dr. Lynn Akin, Dr. Jack D. Glazier, Dr. Stanley D. Ivie, Dr. Erma Lawson, Dr. Sylvia M. Vardell, and Dr. Lynn Westbrook for their excellent teaching, support, and service on my advisory committee.
2010	I am grateful to Dr. Jennifer L. Martin, Professor, Vice Provost, and Dean of the Graduate School, Dr. April D. Miller, Professor and Former Dean of the College of Professional Education, and Dr. L. Nan Restine, Professor and Dean of the College of Professional Education, for their support and encouragement in my life.
2010	I must faithfully thank Uncle James C. Hsiao, Professor Emeritus and Former Dean of the School of Business at Southern Connecticut State University, for his constant support, assistance, encouragement, and caring over the years.
2010	I am grateful to Professor Edward C. Harris, Dean of the School of Communication, Information, and Library Science at SCSU, for his support and encouragement in my life.
2010	I want to thank Ms. Gayla Byerly, Mr. Edward Hoyenski, librarians at the University of North Texas Libraries, Mr. Greg Hardin and Ms. Jimmie Lyn Harris, librarians at TWU Libraries, and Dr. Julie Todaro, Dean of Library Services at Austin Community College, for their excellent supervision, teaching, and help.
2010	My deepest appreciation goes to the support of the 2009 Eugene Garfield Doctoral Dissertation Fellowship from Beta Phi Mu, the international library and information studies honor society.
2010	I am also deeply grateful for the scholarships, graduate assistantships, and travel awards from the School of Library and Information Studies, the Graduate School, and Texas Woman's University, and the scholarship from the Chinese vi   American Librarians Association-an affiliate of American Library Association.
2010	Gratitude is extended to Dr. Susan Carol Curzon for permission to use two change scenarios in the survey.
2010	I am deeply thankful to all the directors for their participation in this study.
2010	Their answers to both open-ended and closed-ended survey questions made this project very useful.
2010	I sincerely thank them for their time and efforts in this project.
2010	Finally, I owe the greatest debt to my wife, Songying Zhou, who has constantly supported me and taken care of family chores.
2010	My son, Shengzhe Yi, also assisted me in the completion of this project.
2010	I must faithfully thank my father, Limo Yi, and my mother, Shuixian Chen, for their steadfast support and caring.
2010	I would like to thank my two elder brothers, my younger sister and brother-in-law, and especially my younger brother for their financial support.
2010	This dissertation is dedicated to my family.
2010	vu
2010	I would like to thank John Carlo Bertot and Jennifer Golbeck for their time and help throughout this process.
2010	In particular, I would like to thank Paul Jaeger for the extensive amount of time and patience he had in dealing with my never ending questions.
2010	ACKNOWLEDGEMENTS This study would not have been possible without the support of many people.
2010	I am grateful to my advisor, Elizabeth Hearne, who from the start believed in me, read, revised, and edited my many drafts, listened to my ideas, and encouraged me to talk through my work.
2010	Also thanks to Christine A. Jenkins for providing research advice and for helping me broaden my historical horizons, and for getting as excited as I do over primary documents.
2010	I am sincerely grateful to Dan Schiller for his gentle wisdom and deep knowledge, and his consistent willingness to teach me and talk about ideas with grace and humor.
2010	And finally, to Linda Smith for her eye for details and for being who she is: always there, always the best, and always with a smile.
2010	Thanks to Kathy Painter and Valerie Youngen of the GSLIS front office staff, who managed my every administrative question and crisis with ease and finesse.
2010	Thanks to the UIUC librarians who helped me navigate the stacks, reserve a study carrel with a window, and provided casual, expert reference.
2010	Thanks also to the women of the Wellfleet Public Library in Wellfleet, MA who cheerfully handled my many interlibrary loan requests and reminded me every day why I love libraries.
2010	Most of all, I want to thank my family, without whom I would not have made it through any of this.
2010	Thank you, for everything.
2010	!
